,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,GoPrice
1,Air India,AI 621,Mumbai,03:55:00,Bengaluru,05:50,01 h 55 m,6823
2,AirAsia,I5 670,Mumbai,19:55:00,Bengaluru,21:45,01 h 50 m,5772
3,AirAsia,I5 2992,Mumbai,23:55:00,Bengaluru,"01:45
+ 1 DAY",01 h 50 m,4606
4,IndiGo,6E 5388,Mumbai,21:30:00,Bengaluru,23:15,01 h 45 m,3699
5,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,7040
6,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,7924
7,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,4287
8,Akasa Air,QP 1341,Mumbai,20:00:00,Bengaluru,21:35,01 h 35 m,7271
9,Akasa Air,QP 1341,Mumbai,20:00:00,Bengaluru,21:35,01 h 35 m,7697
10,Akasa Air,QP 1139,Mumbai,18:05:00,Bengaluru,19:40,01 h 35 m,5999
11,IndiGo,6E 6953,Mumbai,00:50:00,Bengaluru,02:40,01 h 50 m,3895
12,Akasa Air,QP 1306,Mumbai,19:00:00,Bengaluru,20:35,01 h 35 m,7859
45,Akasa Air,QP 1340,Bengaluru,05:30:00,Mumbai,07:20,01 h 50 m,5811
13,IndiGo,6E 5352,Mumbai,06:10:00,Bengaluru,07:50,01 h 40 m,5852
14,IndiGo,6E 5382,Mumbai,12:30:00,Bengaluru,14:15,01 h 45 m,5545
15,IndiGo,6E 5382,Mumbai,12:30:00,Bengaluru,14:15,01 h 45 m,6217
46,IndiGo,6E 5295,Bengaluru,04:25:00,Mumbai,06:20,01 h 55 m,7874
47,IndiGo,6E 5295,Bengaluru,04:25:00,Mumbai,06:20,01 h 55 m,7143
48,Akasa Air,QP 1624,Bengaluru,04:50:00,Mumbai,06:55,02 h 05 m,6713
16,Air India,AI 607,Mumbai,16:40:00,Bengaluru,18:25,01 h 45 m,5632
17,IndiGo,6E 5069,Mumbai,11:15:00,Bengaluru,13:00,01 h 45 m,4948
18,IndiGo,6E 5069,Mumbai,11:15:00,Bengaluru,13:00,01 h 45 m,3029
49,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,5758
50,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,5952
51,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,3602
52,Akasa Air,QP 1138,Bengaluru,15:45:00,Mumbai,17:20,01 h 35 m,7147
53,Akasa Air,QP 1138,Bengaluru,15:45:00,Mumbai,17:20,01 h 35 m,7639
19,Vistara,UK 849,Mumbai,17:30:00,Bengaluru,19:15,01 h 45 m,3271
54,IndiGo,6E 5351,Bengaluru,15:00:00,Mumbai,16:40,01 h 40 m,4897
55,IndiGo,6E 5251,Bengaluru,16:30:00,Mumbai,18:15,01 h 45 m,6242
56,IndiGo,6E 939,Bengaluru,22:45:00,Mumbai,"00:35
+ 1 DAY",01 h 50 m,5687
20,IndiGo,6E 5125,Mumbai,23:15:00,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,4689
21,IndiGo,6E 5125,Mumbai,23:15:00,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,3276
57,IndiGo,6E 5209,Bengaluru,06:00:00,Mumbai,07:35,01 h 35 m,6964
58,IndiGo,6E 5293,Bengaluru,12:15:00,Mumbai,14:05,01 h 50 m,6605
59,IndiGo,6E 5293,Bengaluru,12:15:00,Mumbai,14:05,01 h 50 m,5331
60,Akasa Air,QP 1104,Bengaluru,11:45:00,Mumbai,13:30,01 h 45 m,4341
22,Akasa Air,QP 1110,Mumbai,09:25:00,Bengaluru,11:05,01 h 40 m,5469
61,IndiGo,6E 6347,Bengaluru,21:45:00,Mumbai,23:40,01 h 55 m,5716
62,IndiGo,6E 6347,Bengaluru,21:45:00,Mumbai,23:40,01 h 55 m,4011
63,AirAsia,I5 472,Bengaluru,02:00:00,Mumbai,04:00,02 h,5074
23,Vistara,UK 845,Mumbai,05:55:00,Bengaluru,07:45,01 h 50 m,5344
346,Akasa Air,QP 1406,New Delhi,12:45:00,Hyderabad,15:05,02 h 20 m,3769
24,IndiGo,6E 6293,Mumbai,07:45:00,Bengaluru,09:30,01 h 45 m,5891
25,Vistara,UK 853,Mumbai,16:00:00,Bengaluru,17:45,01 h 45 m,6236
64,Air India,AI 604,Bengaluru,09:20:00,Mumbai,11:35,02 h 15 m,7839
65,Air India,AI 604,Bengaluru,09:20:00,Mumbai,11:35,02 h 15 m,6477
