,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,MMTPrice
1,Air India,AI 621,Mumbai,03:55:00,Bengaluru,05:50,01 h 55 m,2307
2,AirAsia,I5 670,Mumbai,19:55:00,Bengaluru,21:45,01 h 50 m,2773
3,AirAsia,I5 2992,Mumbai,23:55:00,Bengaluru,"01:45
+ 1 DAY",01 h 50 m,2773
4,IndiGo,6E 5388,Mumbai,21:30:00,Bengaluru,23:15,01 h 45 m,2839
5,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,3005
6,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,3005
7,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,3005
8,Akasa Air,QP 1341,Mumbai,20:00:00,Bengaluru,21:35,01 h 35 m,3005
9,Akasa Air,QP 1341,Mumbai,20:00:00,Bengaluru,21:35,01 h 35 m,3005
10,Akasa Air,QP 1139,Mumbai,18:05:00,Bengaluru,19:40,01 h 35 m,3053
11,IndiGo,6E 6953,Mumbai,00:50:00,Bengaluru,02:40,01 h 50 m,3219
12,Akasa Air,QP 1306,Mumbai,19:00:00,Bengaluru,20:35,01 h 35 m,3283
45,Akasa Air,QP 1340,Bengaluru,05:30:00,Mumbai,07:20,01 h 50 m,3345
13,IndiGo,6E 5352,Mumbai,06:10:00,Bengaluru,07:50,01 h 40 m,3420
14,IndiGo,6E 5382,Mumbai,12:30:00,Bengaluru,14:15,01 h 45 m,3420
15,IndiGo,6E 5382,Mumbai,12:30:00,Bengaluru,14:15,01 h 45 m,3420
46,IndiGo,6E 5295,Bengaluru,04:25:00,Mumbai,06:20,01 h 55 m,3520
47,IndiGo,6E 5295,Bengaluru,04:25:00,Mumbai,06:20,01 h 55 m,3520
48,Akasa Air,QP 1624,Bengaluru,04:50:00,Mumbai,06:55,02 h 05 m,3525
16,Air India,AI 607,Mumbai,16:40:00,Bengaluru,18:25,01 h 45 m,3578
17,IndiGo,6E 5069,Mumbai,11:15:00,Bengaluru,13:00,01 h 45 m,3650
18,IndiGo,6E 5069,Mumbai,11:15:00,Bengaluru,13:00,01 h 45 m,3650
49,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,3900
50,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,3900
51,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,3900
52,Akasa Air,QP 1138,Bengaluru,15:45:00,Mumbai,17:20,01 h 35 m,3939
53,Akasa Air,QP 1138,Bengaluru,15:45:00,Mumbai,17:20,01 h 35 m,3939
19,Vistara,UK 849,Mumbai,17:30:00,Bengaluru,19:15,01 h 45 m,4075
54,IndiGo,6E 5351,Bengaluru,15:00:00,Mumbai,16:40,01 h 40 m,4090
55,IndiGo,6E 5251,Bengaluru,16:30:00,Mumbai,18:15,01 h 45 m,4090
56,IndiGo,6E 939,Bengaluru,22:45:00,Mumbai,"00:35
+ 1 DAY",01 h 50 m,4090
20,IndiGo,6E 5125,Mumbai,23:15:00,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,4100
21,IndiGo,6E 5125,Mumbai,23:15:00,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,4100
57,IndiGo,6E 5209,Bengaluru,06:00:00,Mumbai,07:35,01 h 35 m,4140
58,IndiGo,6E 5293,Bengaluru,12:15:00,Mumbai,14:05,01 h 50 m,4140
59,IndiGo,6E 5293,Bengaluru,12:15:00,Mumbai,14:05,01 h 50 m,4140
60,Akasa Air,QP 1104,Bengaluru,11:45:00,Mumbai,13:30,01 h 45 m,4249
22,Akasa Air,QP 1110,Mumbai,09:25:00,Bengaluru,11:05,01 h 40 m,4300
61,IndiGo,6E 6347,Bengaluru,21:45:00,Mumbai,23:40,01 h 55 m,4400
62,IndiGo,6E 6347,Bengaluru,21:45:00,Mumbai,23:40,01 h 55 m,4400
63,AirAsia,I5 472,Bengaluru,02:00:00,Mumbai,04:00,02 h,4401
23,Vistara,UK 845,Mumbai,05:55:00,Bengaluru,07:45,01 h 50 m,4436
346,Akasa Air,QP 1406,New Delhi,12:45:00,Hyderabad,15:05,02 h 20 m,4548
24,IndiGo,6E 6293,Mumbai,07:45:00,Bengaluru,09:30,01 h 45 m,4600
25,Vistara,UK 853,Mumbai,16:00:00,Bengaluru,17:45,01 h 45 m,4600
64,Air India,AI 604,Bengaluru,09:20:00,Mumbai,11:35,02 h 15 m,4621
65,Air India,AI 604,Bengaluru,09:20:00,Mumbai,11:35,02 h 15 m,4621
66,Akasa Air,QP 1109,Bengaluru,06:55:00,Mumbai,08:35,01 h 40 m,4629
236,IndiGo,6E 2111,Mumbai,02:30:00,New Delhi,04:40,02 h 10 m,4745
237,IndiGo,6E 2056,Mumbai,05:00:00,New Delhi,07:15,02 h 15 m,4745
238,IndiGo,6E 5187,Mumbai,06:05:00,New Delhi,08:10,02 h 05 m,4745
239,IndiGo,6E 2398,Mumbai,07:00:00,New Delhi,09:10,02 h 10 m,4745
240,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,4745
241,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,4745
242,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,4745
243,IndiGo,6E 825,Mumbai,07:45:00,New Delhi,09:55,02 h 10 m,4745
244,IndiGo,6E 825,Mumbai,07:45:00,New Delhi,09:55,02 h 10 m,4745
245,Akasa Air,QP 1410,Mumbai,07:55:00,New Delhi,10:10,02 h 15 m,4745
246,IndiGo,6E 2139,Mumbai,08:30:00,New Delhi,10:40,02 h 10 m,4745
247,Air India,AI 866,Mumbai,09:00:00,New Delhi,11:20,02 h 20 m,4745
248,SpiceJet,SG 158,Mumbai,09:05:00,New Delhi,11:20,02 h 15 m,4745
249,IndiGo,6E 5008,Mumbai,09:30:00,New Delhi,11:40,02 h 10 m,4745
250,IndiGo,6E 5008,Mumbai,09:30:00,New Delhi,11:40,02 h 10 m,4745
251,Air India,AI 809,Mumbai,10:00:00,New Delhi,12:20,02 h 20 m,4745
252,Air India,AI 623,Mumbai,10:25:00,New Delhi,12:40,02 h 15 m,4745
253,Air India,AI 623,Mumbai,10:25:00,New Delhi,12:40,02 h 15 m,4745
254,IndiGo,6E 6821,Mumbai,10:30:00,New Delhi,12:50,02 h 20 m,4745
255,IndiGo,6E 5113,Mumbai,11:45:00,New Delhi,14:05,02 h 20 m,4745
256,IndiGo,6E 5113,Mumbai,11:45:00,New Delhi,14:05,02 h 20 m,4745
257,IndiGo,6E 2015,Mumbai,12:45:00,New Delhi,14:55,02 h 10 m,4745
258,Akasa Air,QP 1127,Mumbai,13:05:00,New Delhi,15:10,02 h 05 m,4745
259,IndiGo,6E 993,Mumbai,14:30:00,New Delhi,16:35,02 h 05 m,4745
260,Air India,AI 442,Mumbai,15:35:00,New Delhi,18:10,02 h 35 m,4745
261,IndiGo,6E 2326,Mumbai,15:45:00,New Delhi,17:55,02 h 10 m,4745
262,IndiGo,6E 2326,Mumbai,15:45:00,New Delhi,17:55,02 h 10 m,4745
263,Air India,AI 687,Mumbai,16:00:00,New Delhi,18:20,02 h 20 m,4745
264,IndiGo,6E 2103,Mumbai,17:15:00,New Delhi,19:25,02 h 10 m,4745
265,SpiceJet,SG 710,Mumbai,22:30:00,New Delhi,"01:00
+ 1 DAY",02 h 30 m,4745
266,IndiGo,6E 2083,Mumbai,22:50:00,New Delhi,"01:00
+ 1 DAY",02 h 10 m,4745
267,IndiGo,6E 2126,Mumbai,23:55:00,New Delhi,"02:00
+ 1 DAY",02 h 05 m,4745
268,IndiGo,6E 2126,Mumbai,23:55:00,New Delhi,"02:00
+ 1 DAY",02 h 05 m,4745
347,IndiGo,6E 2461,New Delhi,01:55:00,Hyderabad,04:10,02 h 15 m,4750
348,IndiGo,6E 2337,New Delhi,05:40:00,Hyderabad,07:55,02 h 15 m,4750
349,IndiGo,6E 6203,New Delhi,06:30:00,Hyderabad,08:40,02 h 10 m,4750
350,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,4750
351,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,4750
352,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,4750
353,IndiGo,6E 774,New Delhi,08:10:00,Hyderabad,10:20,02 h 10 m,4750
354,IndiGo,6E 774,New Delhi,08:10:00,Hyderabad,10:20,02 h 10 m,4750
355,Air India,AI 542,New Delhi,09:30:00,Hyderabad,12:00,02 h 30 m,4750
356,IndiGo,6E 2005,New Delhi,10:10:00,Hyderabad,12:15,02 h 05 m,4750
357,Air India,AI 522,New Delhi,11:05:00,Hyderabad,13:25,02 h 20 m,4750
358,IndiGo,6E 837,New Delhi,13:30:00,Hyderabad,15:45,02 h 15 m,4750
359,IndiGo,6E 2187,New Delhi,15:05:00,Hyderabad,17:20,02 h 15 m,4750
360,IndiGo,6E 2187,New Delhi,15:05:00,Hyderabad,17:20,02 h 15 m,4750
361,Air India,AI 544,New Delhi,17:00:00,Hyderabad,19:10,02 h 10 m,4750
362,IndiGo,6E 5312,New Delhi,17:15:00,Hyderabad,19:25,02 h 10 m,4750
363,IndiGo,6E 5312,New Delhi,17:15:00,Hyderabad,19:25,02 h 10 m,4750
364,IndiGo,6E 2341,New Delhi,18:45:00,Hyderabad,21:00,02 h 15 m,4750
365,IndiGo,6E 605,New Delhi,19:45:00,Hyderabad,22:00,02 h 15 m,4750
366,IndiGo,6E 605,New Delhi,19:45:00,Hyderabad,22:00,02 h 15 m,4750
367,IndiGo,6E 2371,New Delhi,21:25:00,Hyderabad,23:40,02 h 15 m,4750
368,Air India,AI 839,New Delhi,21:30:00,Hyderabad,23:45,02 h 15 m,4750
186,Akasa Air,QP 1719,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,4758
187,Akasa Air,QP 1411,New Delhi,10:55:00,Mumbai,13:05,02 h 10 m,4758
188,Akasa Air,QP 1128,New Delhi,16:00:00,Mumbai,18:10,02 h 10 m,4758
189,IndiGo,6E 2009,New Delhi,01:00:00,Mumbai,03:00,02 h,4780
190,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,4780
191,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,4780
192,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,4780
193,IndiGo,6E 5218,New Delhi,06:30:00,Mumbai,08:50,02 h 20 m,4780
194,IndiGo,6E 5218,New Delhi,06:30:00,Mumbai,08:50,02 h 20 m,4780
195,IndiGo,6E 6814,New Delhi,07:15:00,Mumbai,09:20,02 h 05 m,4780
196,IndiGo,6E 2075,New Delhi,08:00:00,Mumbai,10:15,02 h 15 m,4780
197,Air India,AI 665,New Delhi,08:00:00,Mumbai,10:20,02 h 20 m,4780
198,IndiGo,6E 5112,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,4780
199,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,4780
200,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,4780
201,Air India,AI 865,New Delhi,10:00:00,Mumbai,12:30,02 h 30 m,4780
202,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,4780
203,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,4780
204,SpiceJet,SG 157,New Delhi,12:10:00,Mumbai,14:35,02 h 25 m,4780
205,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,4780
206,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,4780
207,Air India,AI 620,New Delhi,13:30:00,Mumbai,15:40,02 h 10 m,4780
208,Air India,AI 863,New Delhi,14:00:00,Mumbai,16:20,02 h 20 m,4780
209,IndiGo,6E 2176,New Delhi,14:20:00,Mumbai,16:30,02 h 10 m,4780
210,IndiGo,6E 2016,New Delhi,15:45:00,Mumbai,18:00,02 h 15 m,4780
211,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,4780
212,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,4780
213,Air India,AI 441,New Delhi,17:15:00,Mumbai,19:30,02 h 15 m,4780
214,IndiGo,6E 864,New Delhi,17:30:00,Mumbai,19:40,02 h 10 m,4780
215,IndiGo,6E 2017,New Delhi,18:30:00,Mumbai,20:35,02 h 05 m,4780
216,SpiceJet,SG 8709,New Delhi,18:55:00,Mumbai,21:25,02 h 30 m,4780
217,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,4780
218,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,4780
219,Air India,AI 805,New Delhi,20:00:00,Mumbai,22:10,02 h 10 m,4780
220,IndiGo,6E 6424,New Delhi,20:15:00,Mumbai,22:45,02 h 30 m,4780
221,IndiGo,6E 6083,New Delhi,21:00:00,Mumbai,23:05,02 h 05 m,4780
222,IndiGo,6E 2114,New Delhi,22:00:00,Mumbai,"00:05
+ 1 DAY",02 h 05 m,4780
223,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,4780
224,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,4780
