,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,YatraPrice
1,Air India,AI 621,Mumbai,03:55:00,Bengaluru,05:50,01 h 55 m,3486
2,AirAsia,I5 670,Mumbai,19:55:00,Bengaluru,21:45,01 h 50 m,5274
3,AirAsia,I5 2992,Mumbai,23:55:00,Bengaluru,"01:45
+ 1 DAY",01 h 50 m,5096
4,IndiGo,6E 5388,Mumbai,21:30:00,Bengaluru,23:15,01 h 45 m,6906
5,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,6941
6,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,5951
7,Akasa Air,QP 1103,Mumbai,00:45:00,Bengaluru,02:20,01 h 35 m,3801
8,Akasa Air,QP 1341,Mumbai,20:00:00,Bengaluru,21:35,01 h 35 m,5122
9,Akasa Air,QP 1341,Mumbai,20:00:00,Bengaluru,21:35,01 h 35 m,4477
10,Akasa Air,QP 1139,Mumbai,18:05:00,Bengaluru,19:40,01 h 35 m,7892
11,IndiGo,6E 6953,Mumbai,00:50:00,Bengaluru,02:40,01 h 50 m,7574
12,Akasa Air,QP 1306,Mumbai,19:00:00,Bengaluru,20:35,01 h 35 m,5125
45,Akasa Air,QP 1340,Bengaluru,05:30:00,Mumbai,07:20,01 h 50 m,3745
13,IndiGo,6E 5352,Mumbai,06:10:00,Bengaluru,07:50,01 h 40 m,3635
14,IndiGo,6E 5382,Mumbai,12:30:00,Bengaluru,14:15,01 h 45 m,4922
15,IndiGo,6E 5382,Mumbai,12:30:00,Bengaluru,14:15,01 h 45 m,5101
46,IndiGo,6E 5295,Bengaluru,04:25:00,Mumbai,06:20,01 h 55 m,7777
47,IndiGo,6E 5295,Bengaluru,04:25:00,Mumbai,06:20,01 h 55 m,3375
48,Akasa Air,QP 1624,Bengaluru,04:50:00,Mumbai,06:55,02 h 05 m,3668
16,Air India,AI 607,Mumbai,16:40:00,Bengaluru,18:25,01 h 45 m,4747
17,IndiGo,6E 5069,Mumbai,11:15:00,Bengaluru,13:00,01 h 45 m,6422
18,IndiGo,6E 5069,Mumbai,11:15:00,Bengaluru,13:00,01 h 45 m,7320
49,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,5677
50,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,6982
51,IndiGo,6E 5124,Bengaluru,05:00:00,Mumbai,06:50,01 h 50 m,4583
